"Year","CLUE_Areas","Population_CO2_tonnes","Energy_CO2_tonnes","Trees_CO2_absorbed_tonnes"
2017,"West Melbourne (Industrial)",1.292534496,27.5353700635198,2.92112857403023
2014,"West Melbourne (Industrial)",0,24.0632600622457,4.44059346642468
2014,"West Melbourne (Industrial)",0,24.0632600622457,2.92112857403023
2011,"West Melbourne (Industrial)",0,21.4406988659374,4.44059346642468
2011,"West Melbourne (Industrial)",0,21.4406988659374,2.92112857403023
2020,"West Melbourne (Industrial)",0,28.5829472878012,4.44059346642468
2020,"West Melbourne (Industrial)",0,28.5829472878012,2.92112857403023
2021,"West Melbourne (Industrial)",0,29.8010795283214,4.44059346642468
2021,"West Melbourne (Industrial)",0,29.8010795283214,2.92112857403023
2018,"West Melbourne (Industrial)",1.223849088,28.2995980742096,4.44059346642468
2018,"West Melbourne (Industrial)",1.223849088,28.2995980742096,2.92112857403023
2019,"West Melbourne (Industrial)",1.086478272,28.686325709701,4.44059346642468
2019,"West Melbourne (Industrial)",1.086478272,28.686325709701,2.92112857403023
2015,"West Melbourne (Residential)",2154.63783348,25.0071302786305,2.86139394871859
2015,"West Melbourne (Residential)",2154.63783348,25.0071302786305,2.07205302721067
2012,"West Melbourne (Residential)",1684.523680488,20.1050734054652,2.86139394871859
2012,"West Melbourne (Residential)",1684.523680488,20.1050734054652,2.07205302721067
2013,"West Melbourne (Residential)",1841.686821216,21.3744410212816,2.86139394871859
2013,"West Melbourne (Residential)",1841.686821216,21.3744410212816,2.07205302721067
2018,"West Melbourne (Residential)",2722.435124904,28.3511113273786,2.86139394871859
2018,"West Melbourne (Residential)",2722.435124904,28.3511113273786,2.07205302721067
2019,"West Melbourne (Residential)",2929.485726288,28.6571055625394,2.86139394871859
2019,"West Melbourne (Residential)",2929.485726288,28.6571055625394,2.07205302721067
2016,"West Melbourne (Residential)",2325.352293,27.5083102635304,2.86139394871859
2016,"West Melbourne (Residential)",2325.352293,27.5083102635304,2.07205302721067
2017,"West Melbourne (Residential)",2507.77449252,27.6698147226417,2.86139394871859
2017,"West Melbourne (Residential)",2507.77449252,27.6698147226417,2.07205302721067
2014,"West Melbourne (Residential)",1997.830608048,22.8343721419455,2.86139394871859
2014,"West Melbourne (Residential)",1997.830608048,22.8343721419455,2.07205302721067
2011,"West Melbourne (Residential)",1541.658031848,17.9094757725646,2.86139394871859
2011,"West Melbourne (Residential)",1541.658031848,17.9094757725646,2.07205302721067
2020,"West Melbourne (Residential)",3127.335605064,28.4784008414429,2.86139394871859
2020,"West Melbourne (Residential)",3127.335605064,28.4784008414429,2.07205302721067
2021,"West Melbourne (Residential)",3145.056440328,29.6187794786318,2.86139394871859
2021,"West Melbourne (Residential)",3145.056440328,29.6187794786318,2.07205302721067
