"Year","SA3.name","SA2.code","SA2.name","Total.M","Total.F","Total.A","M_Child","M_Teen","M_Adult","M_Old","F_Child","F_Teen","F_Adult","F_Old","A_Child","A_Teen","A_Adult","A_Old","Check_Child","Check_Teen","Check_Adult","Check_Old"
2016,"Melbourne City",206041117,"Carlton",9419,10823,20242,452,1352,6833,782,423,1837,7685,878,875,3189,14518,1660,875,3189,14518,1660
2016,"Melbourne City",206041118,"Docklands",6136,5696,11832,401,270,4900,565,367,328,4533,468,768,598,9433,1033,768,598,9433,1033
2016,"Melbourne City",206041119,"East Melbourne",2616,2859,5475,135,82,1785,614,151,89,1923,696,286,171,3708,1310,286,171,3708,1310
2016,"Melbourne City",206041120,"Melbourne (Remainder)",42,49,91,7,0,35,0,5,0,44,0,12,0,79,0,12,0,79,0
2016,"Melbourne City",206041121,"Kensington",5617,5913,11530,652,367,3950,648,655,351,4162,745,1307,718,8112,1393,1307,718,8112,1393
2016,"Melbourne City",206041124,"Parkville",3718,4180,7898,203,599,2443,473,196,811,2462,711,399,1410,4905,1184,399,1410,4905,1184
2016,"Melbourne City",206041125,"South Yarra",3027,3426,6453,181,212,1900,734,183,243,2162,838,364,455,4062,1572,364,455,4062,1572
2016,"Melbourne City",206041127,"West Melbourne (Industrial)",2,1,3,0,0,2,0,0,0,1,0,0,0,3,0,0,0,3,0
2016,"Melbourne City",206041503,"Melbourne (CBD)",5922,5711,11633,194,433,4779,516,204,442,4612,453,398,875,9391,969,398,875,9391,969
2016,"Melbourne City",206041504,"Melbourne (CBD)",6652,7578,14230,167,832,5435,218,179,1256,5959,184,346,2088,11394,402,346,2088,11394,402
2016,"Melbourne City",206041505,"Melbourne (CBD)",7197,7121,14318,225,461,6217,294,195,585,6106,235,420,1046,12323,529,420,1046,12323,529
2016,"Melbourne City",206041506,"North Melbourne",7993,8471,16464,613,781,5780,819,586,898,6129,858,1199,1679,11909,1677,1199,1679,11909,1677
2016,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Melbourne City",206041508,"Southbank",3712,3546,7258,166,157,2988,401,186,181,2805,374,352,338,5793,775,352,338,5793,775
2016,"Melbourne City",206041509,"Southbank",6572,6458,13030,272,302,5553,445,267,412,5312,467,539,714,10865,912,539,714,10865,912
2016,"Melbourne City",206041510,"West Melbourne (Residential)",3088,2554,5642,159,163,2601,165,168,167,2046,173,327,330,4647,338,327,330,4647,338
2016,"Port Phillip",206051130,"Port Melbourne",8403,9066,17469,901,573,5338,1591,871,532,5864,1799,1772,1105,11202,3390,1772,1105,11202,3390
2016,"Port Phillip",206051511,"Port Melbourne",62,48,110,1,2,53,6,4,0,36,8,5,2,89,14,5,2,89,14
2017,"Melbourne City",206041117,"Carlton",9687,10964,20651,470,1274,7144,799,420,1748,7884,912,890,3022,15028,1711,890,3022,15028,1711
2017,"Melbourne City",206041118,"Docklands",7245,6677,13922,480,298,5809,658,440,341,5342,554,920,639,11151,1212,920,639,11151,1212
2017,"Melbourne City",206041119,"East Melbourne",2628,2868,5496,145,89,1764,630,174,96,1896,702,319,185,3660,1332,319,185,3660,1332
2017,"Melbourne City",206041120,"Melbourne (Remainder)",43,45,88,10,0,33,0,4,0,41,0,14,0,74,0,14,0,74,0
2017,"Melbourne City",206041121,"Kensington",5629,5911,11540,651,380,3925,673,656,375,4107,773,1307,755,8032,1446,1307,755,8032,1446
2017,"Melbourne City",206041124,"Parkville",3827,4355,8182,214,630,2523,460,228,854,2584,689,442,1484,5107,1149,442,1484,5107,1149
2017,"Melbourne City",206041125,"South Yarra",3237,3596,6833,202,244,1990,801,204,226,2269,897,406,470,4259,1698,406,470,4259,1698
2017,"Melbourne City",206041127,"West Melbourne (Industrial)",2,1,3,0,0,2,0,0,0,1,0,0,0,3,0,0,0,3,0
2017,"Melbourne City",206041503,"Melbourne (CBD)",6050,5831,11881,212,410,4900,528,212,430,4716,473,424,840,9616,1001,424,840,9616,1001
2017,"Melbourne City",206041504,"Melbourne (CBD)",7506,8295,15801,188,828,6259,231,202,1231,6661,201,390,2059,12920,432,390,2059,12920,432
2017,"Melbourne City",206041505,"Melbourne (CBD)",8513,8375,16888,282,500,7391,340,245,623,7219,288,527,1123,14610,628,527,1123,14610,628
2017,"Melbourne City",206041506,"North Melbourne",8277,8725,17002,690,758,6019,810,671,883,6298,873,1361,1641,12317,1683,1361,1641,12317,1683
2017,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Melbourne City",206041508,"Southbank",3810,3635,7445,193,133,3069,415,211,193,2838,393,404,326,5907,808,404,326,5907,808
2017,"Melbourne City",206041509,"Southbank",7159,6973,14132,338,300,6055,466,315,402,5754,502,653,702,11809,968,653,702,11809,968
2017,"Melbourne City",206041510,"West Melbourne (Residential)",3282,2802,6084,170,174,2763,175,185,168,2266,183,355,342,5029,358,355,342,5029,358
2017,"Port Phillip",206051130,"Port Melbourne",8420,9074,17494,927,606,5225,1662,927,557,5735,1855,1854,1163,10960,3517,1854,1163,10960,3517
2017,"Port Phillip",206051511,"Port Melbourne",202,173,375,12,14,169,7,10,7,146,10,22,21,315,17,22,21,315,17
2018,"Melbourne City",206041117,"Carlton",9817,11014,20831,466,1160,7387,804,418,1578,8058,960,884,2738,15445,1764,884,2738,15445,1764
2018,"Melbourne City",206041118,"Docklands",8055,7381,15436,537,293,6499,726,498,329,5923,631,1035,622,12422,1357,1035,622,12422,1357
2018,"Melbourne City",206041119,"East Melbourne",2586,2826,5412,145,86,1724,631,176,102,1850,698,321,188,3574,1329,321,188,3574,1329
2018,"Melbourne City",206041120,"Melbourne (Remainder)",44,42,86,9,0,35,0,3,0,39,0,12,0,74,0,12,0,74,0
2018,"Melbourne City",206041121,"Kensington",5604,5889,11493,642,393,3890,679,658,387,4064,780,1300,780,7954,1459,1300,780,7954,1459
2018,"Melbourne City",206041124,"Parkville",3848,4394,8242,223,641,2538,446,239,888,2612,655,462,1529,5150,1101,462,1529,5150,1101
2018,"Melbourne City",206041125,"South Yarra",3304,3653,6957,207,256,2024,817,214,213,2300,926,421,469,4324,1743,421,469,4324,1743
2018,"Melbourne City",206041127,"West Melbourne (Industrial)",2,1,3,0,0,2,0,0,0,0,1,0,0,2,1,0,0,2,1
2018,"Melbourne City",206041503,"Melbourne (CBD)",6285,6037,12322,223,397,5128,537,215,423,4922,477,438,820,10050,1014,438,820,10050,1014
2018,"Melbourne City",206041504,"Melbourne (CBD)",8250,8881,17131,197,810,7007,236,216,1131,7323,211,413,1941,14330,447,413,1941,14330,447
2018,"Melbourne City",206041505,"Melbourne (CBD)",9157,8944,18101,307,487,8003,360,270,591,7772,311,577,1078,15775,671,577,1078,15775,671
2018,"Melbourne City",206041506,"North Melbourne",8567,9018,17585,765,765,6213,824,784,859,6455,920,1549,1624,12668,1744,1549,1624,12668,1744
2018,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"Melbourne City",206041508,"Southbank",3876,3682,7558,207,126,3120,423,223,186,2871,402,430,312,5991,825,430,312,5991,825
