"Year","SA2.name","Gender","Age_category","Population_Count"
2012,"Docklands","F","Child",173
2012,"Docklands","F","Teen",184
2012,"Docklands","F","Adult",2576
2012,"Docklands","F","Old",265
2012,"Docklands","A","Child",349
2012,"Docklands","A","Teen",348
2012,"Docklands","A","Adult",5490
2012,"Docklands","A","Old",615
2012,"East Melbourne","M","Child",135
2012,"East Melbourne","M","Teen",88
2012,"East Melbourne","M","Adult",1803
2012,"East Melbourne","M","Old",503
2012,"East Melbourne","F","Child",139
2012,"East Melbourne","F","Teen",86
2012,"East Melbourne","F","Adult",1925
2012,"East Melbourne","F","Old",601
2012,"East Melbourne","A","Child",274
2012,"East Melbourne","A","Teen",174
2012,"East Melbourne","A","Adult",3728
2012,"East Melbourne","A","Old",1104
2012,"Melbourne (Remainder)","M","Child",0
2012,"Melbourne (Remainder)","M","Teen",3
2012,"Melbourne (Remainder)","M","Adult",31
2012,"Melbourne (Remainder)","M","Old",6
2012,"Melbourne (Remainder)","F","Child",0
2012,"Melbourne (Remainder)","F","Teen",0
2012,"Melbourne (Remainder)","F","Adult",47
2012,"Melbourne (Remainder)","F","Old",0
2012,"Melbourne (Remainder)","A","Child",0
2012,"Melbourne (Remainder)","A","Teen",3
2012,"Melbourne (Remainder)","A","Adult",78
2012,"Melbourne (Remainder)","A","Old",6
2012,"Kensington","M","Child",592
2012,"Kensington","M","Teen",316
2012,"Kensington","M","Adult",3737
2012,"Kensington","M","Old",488
2012,"Kensington","F","Child",559
2012,"Kensington","F","Teen",328
2012,"Kensington","F","Adult",3865
2012,"Kensington","F","Old",602
2012,"Kensington","A","Child",1151
2012,"Kensington","A","Teen",644
2012,"Kensington","A","Adult",7602
2012,"Kensington","A","Old",1090
2012,"Parkville","M","Child",147
2012,"Parkville","M","Teen",571
2012,"Parkville","M","Adult",2123
2012,"Parkville","M","Old",425
2012,"Parkville","F","Child",160
2012,"Parkville","F","Teen",710
2012,"Parkville","F","Adult",2204
2012,"Parkville","F","Old",532
2012,"Parkville","A","Child",307
2012,"Parkville","A","Teen",1281
2012,"Parkville","A","Adult",4327
2012,"Parkville","A","Old",957
2012,"South Yarra","M","Child",200
2012,"South Yarra","M","Teen",217
2012,"South Yarra","M","Adult",2042
2012,"South Yarra","M","Old",647
2012,"South Yarra","F","Child",187
2012,"South Yarra","F","Teen",227
2012,"South Yarra","F","Adult",2134
2012,"South Yarra","F","Old",746
2012,"South Yarra","A","Child",387
2012,"South Yarra","A","Teen",444
2012,"South Yarra","A","Adult",4176
2012,"South Yarra","A","Old",1393
2012,"West Melbourne (Industrial)","M","Child",0
2012,"West Melbourne (Industrial)","M","Teen",0
2012,"West Melbourne (Industrial)","M","Adult",0
2012,"West Melbourne (Industrial)","M","Old",0
2012,"West Melbourne (Industrial)","F","Child",0
2012,"West Melbourne (Industrial)","F","Teen",0
2012,"West Melbourne (Industrial)","F","Adult",0
2012,"West Melbourne (Industrial)","F","Old",0
2012,"West Melbourne (Industrial)","A","Child",0
2012,"West Melbourne (Industrial)","A","Teen",0
2012,"West Melbourne (Industrial)","A","Adult",0
2012,"West Melbourne (Industrial)","A","Old",0
2012,"Melbourne (CBD)","M","Child",145
2012,"Melbourne (CBD)","M","Teen",275
2012,"Melbourne (CBD)","M","Adult",3563
2012,"Melbourne (CBD)","M","Old",366
2012,"Melbourne (CBD)","F","Child",120
2012,"Melbourne (CBD)","F","Teen",315
2012,"Melbourne (CBD)","F","Adult",3298
2012,"Melbourne (CBD)","F","Old",292
2012,"Melbourne (CBD)","A","Child",265
2012,"Melbourne (CBD)","A","Teen",590
2012,"Melbourne (CBD)","A","Adult",6861
